total_outlayed_amount,awarding_agency_name,BAC,BRK.B,CMCSA,COST,CRM,CSCO,DIS,GOOGL,HD,INTC,JNJ,JPM,KO,LLY,MA,MCD,META,MRK,MSFT,NFLX,NGL,NSRGY,NVDA,ORCL,PEP,PFE,PG,T,TMO,UNH,V,WFC,WMT,AAPL,ABT,ACN,ADBE,AMD,AMZN,BA,TSLA,VZ,XOM
191753.97,Corporation for National and Community Service,0.00050981391792,-0.0081240282917643,-0.0118644067796609,-0.003255438061307,0.0051166451982251,-0.0036107943747624,-0.0055231014338822,0.0,0.000778096581238,-0.0058061634658329,-0.0041571011974932,-0.009937768343866,-0.0069004365582313,-0.0061947995107006,-0.0012107270415884,-0.0010205425335791,0.0173879645955903,-0.0169521770164167,-0.0014144271570013,-0.0060329916044383,0.0045662100456622,-0.0130921447131721,0.033655868742112,-0.0050682726134397,-0.0060159245060454,-0.0094372596994057,-0.0104699860400184,-0.0063091482649842,-0.0192583888236063,0.0007428542486198,-0.0005054151624548,-0.0057866184448462,0.0,-0.0048946115177705,-0.0124076029567054,0.0138931769064525,-0.0039738241632233,0.0192139191388158,-0.0151547954102618,-0.0155013408332786,-0.0335716006746447,-0.0117647058823527,0.0087228439763002
23417.5,Corporation for National and Community Service,0.00050981391792,-0.0081240282917643,-0.0118644067796609,-0.003255438061307,0.0051166451982251,-0.0036107943747624,-0.0055231014338822,0.0,0.000778096581238,-0.0058061634658329,-0.0041571011974932,-0.009937768343866,-0.0069004365582313,-0.0061947995107006,-0.0012107270415884,-0.0010205425335791,0.0173879645955903,-0.0169521770164167,-0.0014144271570013,-0.0060329916044383,0.0045662100456622,-0.0130921447131721,0.033655868742112,-0.0050682726134397,-0.0060159245060454,-0.0094372596994057,-0.0104699860400184,-0.0063091482649842,-0.0192583888236063,0.0007428542486198,-0.0005054151624548,-0.0057866184448462,0.0,-0.0048946115177705,-0.0124076029567054,0.0138931769064525,-0.0039738241632233,0.0192139191388158,-0.0151547954102618,-0.0155013408332786,-0.0335716006746447,-0.0117647058823527,0.0087228439763002
1433276.49,Corporation for National and Community Service,0.0219108280254776,0.0198913811374072,0.0093114432737073,0.0084963513652402,0.0243494357623437,0.0061033759298112,0.0162341129979708,0.0072350174846256,-0.0078235094027891,0.0148247978436657,-0.0013084112149532,0.029186766067339,-0.004963131026659,0.0018180791598441,0.0055154857870172,0.00102158510463,0.0225989670024195,-0.0037211835178799,-0.0011523503144956,0.018251273344652,0.0022727272727272,-0.0065822784810126,0.016849816849817,0.0239721922569819,-0.0033228505310627,0.0084685956245589,-0.0072889724900071,-0.0063492063492063,-0.0038441057045862,-0.0026149304091099,0.0038647691974282,0.0360130956711532,0.0063409175680715,0.0050073115611291,0.003653212153613,0.0027682427195216,0.0067884080984517,0.0494319926312558,0.0250054957133434,0.0297634865798563,0.0391423585140864,-0.0076370170709794,0.0183553597650514
1025653.34,Corporation for National and Community Service,0.0219108280254776,0.0198913811374072,0.0093114432737073,0.0084963513652402,0.0243494357623437,0.0061033759298112,0.0162341129979708,0.0072350174846256,-0.0078235094027891,0.0148247978436657,-0.0013084112149532,0.029186766067339,-0.004963131026659,0.0018180791598441,0.0055154857870172,0.00102158510463,0.0225989670024195,-0.0037211835178799,-0.0011523503144956,0.018251273344652,0.0022727272727272,-0.0065822784810126,0.016849816849817,0.0239721922569819,-0.0033228505310627,0.0084685956245589,-0.0072889724900071,-0.0063492063492063,-0.0038441057045862,-0.0026149304091099,0.0038647691974282,0.0360130956711532,0.0063409175680715,0.0050073115611291,0.003653212153613,0.0027682427195216,0.0067884080984517,0.0494319926312558,0.0250054957133434,0.0297634865798563,0.0391423585140864,-0.0076370170709794,0.0183553597650514
1233089.82,Corporation for National and Community Service,-0.0037397157816005,-0.0183345238868325,-0.0152949745083756,-0.010780084021243,-0.0110512597741094,-0.0045497630331754,-0.02900683131897,-0.0244223632227942,-0.0007346459006759,-0.0092961487383798,-0.0047414062012601,-0.0013729760439351,-0.0165312811742909,0.0126696424545742,-0.0128591520996583,-0.009579931524888,-0.0187267174547774,-0.0107497494761773,-0.0156708167091284,-0.0247047380853134,0.0498866213151927,-0.0063200815494393,0.0224143451809157,-0.0052089429942644,-0.0045246174912185,0.0216934919524143,-0.0104216011369019,-0.0059333637608397,0.0004009288184294,-0.0129228687415428,-0.0148958370812793,0.0035112359550562,-0.0227328885594267,-0.0225308641975309,0.0063920454545454,-0.0150176678445229,-0.0392728993336225,0.0004095962551198,-0.0306149804300036,0.0058709677419355,-0.0369881637875879,-0.0076957899502035,0.0043258832011536
546431.52,Corporation for National and Community Service,-0.0037397157816005,-0.0183345238868325,-0.0152949745083756,-0.010780084021243,-0.0110512597741094,-0.0045497630331754,-0.02900683131897,-0.0244223632227942,-0.0007346459006759,-0.0092961487383798,-0.0047414062012601,-0.0013729760439351,-0.0165312811742909,0.0126696424545742,-0.0128591520996583,-0.009579931524888,-0.0187267174547774,-0.0107497494761773,-0.0156708167091284,-0.0247047380853134,0.0498866213151927,-0.0063200815494393,0.0224143451809157,-0.0052089429942644,-0.0045246174912185,0.0216934919524143,-0.0104216011369019,-0.0059333637608397,0.0004009288184294,-0.0129228687415428,-0.0148958370812793,0.0035112359550562,-0.0227328885594267,-0.0225308641975309,0.0063920454545454,-0.0150176678445229,-0.0392728993336225,0.0004095962551198,-0.0306149804300036,0.0058709677419355,-0.0369881637875879,-0.0076957899502035,0.0043258832011536
594842.74,Corporation for National and Community Service,-0.0007507507507508,0.0006615214994487,0.0096153846153845,0.0192653304181593,0.0245985170608287,0.0041896781565415,0.0012988418660029,0.0085900110443,0.0149977944419938,0.0420017873100984,0.0010029461543283,-0.0008533636751528,0.0024634110998407,0.0170525378450578,0.0117239975575005,0.0034901113511716,0.0138684633537398,-0.0006446265770329,0.0126239195194608,0.0282653293822658,0.0388768898488121,-0.0049240869922035,0.040479173191356,0.0258869212213921,0.0191974164224626,-0.0006849315068493,0.006223073240785,0.0036730945821854,-0.0056775486348834,-0.003392967304133,0.0042733481865662,0.0024492652204339,0.0077117572692793,0.0184040777662501,0.0112032462949893,0.0100336322869953,0.018345988097681,0.0107036322161784,0.0106194690265486,-0.0080815855301135,0.0152389652451936,0.0038777372262772,-0.0265613783201722
215826.19,Corporation for National and Community Service,-0.0007507507507508,0.0006615214994487,0.0096153846153845,0.0192653304181593,0.0245985170608287,0.0041896781565415,0.0012988418660029,0.0085900110443,0.0149977944419938,0.0420017873100984,0.0010029461543283,-0.0008533636751528,0.0024634110998407,0.0170525378450578,0.0117239975575005,0.0034901113511716,0.0138684633537398,-0.0006446265770329,0.0126239195194608,0.0282653293822658,0.0388768898488121,-0.0049240869922035,0.040479173191356,0.0258869212213921,0.0191974164224626,-0.0006849315068493,0.006223073240785,0.0036730945821854,-0.0056775486348834,-0.003392967304133,0.0042733481865662,0.0024492652204339,0.0077117572692793,0.0184040777662501,0.0112032462949893,0.0100336322869953,0.018345988097681,0.0107036322161784,0.0106194690265486,-0.0080815855301135,0.0152389652451936,0.0038777372262772,-0.0265613783201722
88685.53,Corporation for National and Community Service,-0.0007507507507508,0.0006615214994487,0.0096153846153845,0.0192653304181593,0.0245985170608287,0.0041896781565415,0.0012988418660029,0.0085900110443,0.0149977944419938,0.0420017873100984,0.0010029461543283,-0.0008533636751528,0.0024634110998407,0.0170525378450578,0.0117239975575005,0.0034901113511716,0.0138684633537398,-0.0006446265770329,0.0126239195194608,0.0282653293822658,0.0388768898488121,-0.0049240869922035,0.040479173191356,0.0258869212213921,0.0191974164224626,-0.0006849315068493,0.006223073240785,0.0036730945821854,-0.0056775486348834,-0.003392967304133,0.0042733481865662,0.0024492652204339,0.0077117572692793,0.0184040777662501,0.0112032462949893,0.0100336322869953,0.018345988097681,0.0107036322161784,0.0106194690265486,-0.0080815855301135,0.0152389652451936,0.0038777372262772,-0.0265613783201722
1071627.53,Corporation for National and Community Service,-0.0007507507507508,0.0006615214994487,0.0096153846153845,0.0192653304181593,0.0245985170608287,0.0041896781565415,0.0012988418660029,0.0085900110443,0.0149977944419938,0.0420017873100984,0.0010029461543283,-0.0008533636751528,0.0024634110998407,0.0170525378450578,0.0117239975575005,0.0034901113511716,0.0138684633537398,-0.0006446265770329,0.0126239195194608,0.0282653293822658,0.0388768898488121,-0.0049240869922035,0.040479173191356,0.0258869212213921,0.0191974164224626,-0.0006849315068493,0.006223073240785,0.0036730945821854,-0.0056775486348834,-0.003392967304133,0.0042733481865662,0.0024492652204339,0.0077117572692793,0.0184040777662501,0.0112032462949893,0.0100336322869953,0.018345988097681,0.0107036322161784,0.0106194690265486,-0.0080815855301135,0.0152389652451936,0.0038777372262772,-0.0265613783201722
