t,v_JNJ,vw,o_JNJ,c_JNJ,h_JNJ,l_JNJ,n,t_a,JNJ_SMA_10,JNJ_SMA_50,JNJ_Returns
2024-10-28,4541429.0,161.6102,161.13,161.6,161.97,161.0,82917,2024-10-28 04:00:00,163.626,163.3284,0.004475385380407815
2024-10-29,4855028.0,160.888,161.46,160.09,162.17,160.06,91560,2024-10-29 04:00:00,163.225,163.3376,-0.009344059405940519
2024-10-30,5123408.0,160.5649,159.45,160.61,161.28,159.0302,91724,2024-10-30 04:00:00,162.858,163.3466,0.0032481729027422634
2024-10-31,8056878.0,160.1553,159.99,159.86,160.87,159.46,104781,2024-10-31 04:00:00,162.397,163.3152,-0.004669696781022359
2024-11-01,4516815.0,160.4261,160.58,160.13,161.06,159.88,84438,2024-11-01 04:00:00,161.898,163.2708,0.001688977855623497
2024-11-04,4295896.0,158.621,159.7,158.24,160.28,158.07,93319,2024-11-04 05:00:00,161.439,163.153,-0.011802910135514821
2024-11-05,6140138.0,157.9439,157.67,158.35,158.59,156.35,89433,2024-11-05 05:00:00,160.929,163.0278,0.0006951466127400607
2024-11-06,8247000.0,158.1403,159.9,157.88,160.85,157.355,131535,2024-11-06 05:00:00,160.131,162.9264,-0.0029681086201452933
2024-11-07,7239812.0,156.9895,158.47,156.73,158.75,156.51,116039,2024-11-07 05:00:00,159.43699999999998,162.7826,-0.007284013174562953
2024-11-08,8644434.0,155.9074,157.0,155.47,157.08,155.41,120319,2024-11-08 05:00:00,158.89600000000002,162.60739999999998,-0.008039303260384045
2024-11-11,6712939.0,155.6053,155.62,155.04,157.58,154.91,98613,2024-11-11 05:00:00,158.23999999999998,162.391,-0.0027658069080852554
2024-11-12,6546375.0,153.0694,154.53,152.64,155.04,152.37,96461,2024-11-12 05:00:00,157.495,162.1006,-0.01547987616099078
2024-11-13,6738036.0,152.9019,152.5,153.24,153.51,151.4245,87943,2024-11-13 05:00:00,156.758,161.8182,0.0039308176100629755
2024-11-14,7096959.0,152.0509,153.18,151.87,153.5918,150.76,111723,2024-11-14 05:00:00,155.959,161.5558,-0.00894022448446885
2024-11-15,10142176.0,153.4077,150.9,154.0,154.43,150.9,123305,2024-11-15 05:00:00,155.346,161.3482,0.014025153091459686
2024-11-18,6969007.0,154.4952,152.59,154.77,155.33,152.33,99882,2024-11-18 05:00:00,154.99899999999997,161.1114,0.0050000000000001155
2024-11-19,7703325.0,152.7622,153.945,153.0,153.99,152.05,95454,2024-11-19 05:00:00,154.464,160.8238,-0.011436324869160797
2024-11-20,7276125.0,152.8026,153.03,153.11,153.25,151.81,76649,2024-11-20 05:00:00,153.98700000000002,160.58960000000002,0.0007189542483660993
2024-11-21,8738510.0,155.0342,153.62,155.5,156.06,152.81,102789,2024-11-21 05:00:00,153.864,160.4068,0.015609692378028672
2024-11-22,7301819.0,155.261,155.9,155.17,157.115,154.11,96480,2024-11-22 05:00:00,153.834,160.1998,-0.0021221864951769254
2024-11-25,11114482.0,155.8964,155.17,155.78,157.035,155.14,95884,2024-11-25 05:00:00,153.90800000000002,159.9756,0.003931172262679805
2024-11-26,5467745.0,154.1668,155.16,154.52,155.25,153.16,79260,2024-11-26 05:00:00,154.096,159.72459999999998,-0.008088329695724705
2024-11-27,3976411.0,155.6582,154.63,155.4,156.63,154.6,64257,2024-11-27 05:00:00,154.31199999999998,159.5096,0.005695055656225634
2024-11-29,5169235.0,155.2163,154.89,155.01,155.67,154.169,51108,2024-11-29 05:00:00,154.626,159.3134,-0.0025096525096526268
2024-12-02,5521810.0,154.6851,154.75,154.8,155.0,153.9258,77963,2024-12-02 05:00:00,154.70600000000002,159.12619999999998,-0.0013547513063671968
2024-12-03,8195726.0,153.0183,154.8,152.36,154.8,152.305,86944,2024-12-03 05:00:00,154.465,158.909,-0.015762273901808732
2024-12-04,8579451.0,150.4752,151.29,150.47,151.56,149.75,106250,2024-12-04 05:00:00,154.21200000000002,158.66279999999998,-0.012404830664216382
2024-12-05,7278000.0,149.5644,150.0,149.52,150.38,148.95,100742,2024-12-05 05:00:00,153.853,158.4412,-0.006313550873928264
2024-12-06,8189567.0,149.1419,149.39,149.31,150.05,148.38,94262,2024-12-06 05:00:00,153.23399999999998,158.1996,-0.001404494382022503
2024-12-09,7306043.0,149.7724,149.29,149.6,150.89,148.44,102073,2024-12-09 05:00:00,152.67700000000002,157.9636,0.0019422677650524633
