t,v_ABT,vw,o_ABT,c_ABT,h_ABT,l_ABT,n,t_a,ABT_SMA_10,ABT_SMA_50,ABT_Returns
2024-11-20,5345188.0,115.9402,116.69,115.93,116.77,115.53,63383,2024-11-20 05:00:00,116.22199999999998,115.53939999999999,-0.010245026893195508
2024-11-21,5042431.0,116.715,115.68,117.26,117.64,115.14,62446,2024-11-21 05:00:00,116.41799999999998,115.54799999999999,0.01147244026567762
2024-11-22,4877451.0,117.4374,117.224,117.76,118.0,116.38,57898,2024-11-22 05:00:00,116.535,115.57520000000001,0.004264028654272556
2024-11-25,6477079.0,118.1179,118.28,118.13,118.65,117.58,62783,2024-11-25 05:00:00,116.668,115.5852,0.0031419836956521063
2024-11-26,3369361.0,117.8053,118.64,117.96,119.0,117.01,46801,2024-11-26 05:00:00,116.82000000000001,115.5818,-0.001439092525184149
2024-11-27,3144700.0,119.3372,118.35,118.95,120.53,118.1,46175,2024-11-27 05:00:00,117.141,115.6632,0.008392675483214651
2024-11-29,2165334.0,118.7572,118.71,118.77,119.19,117.86,27359,2024-11-29 05:00:00,117.51500000000001,115.7556,-0.0015132408575032619
2024-12-02,3368852.0,117.2125,118.75,116.81,118.81,116.59,53386,2024-12-02 05:00:00,117.606,115.8178,-0.016502483792203315
2024-12-03,4326148.0,116.4975,117.099,116.29,117.44,116.07,52044,2024-12-03 05:00:00,117.499,115.8474,-0.004451673658077193
2024-12-04,3318529.0,115.9775,117.01,115.97,117.01,115.29,48731,2024-12-04 05:00:00,117.383,115.9,-0.002751741336314395
2024-12-05,3136873.0,115.5196,115.26,115.59,116.2908,114.885,47647,2024-12-05 05:00:00,117.349,115.95960000000001,-0.0032767094938346286
2024-12-06,5178099.0,115.556,115.13,115.6,116.2,115.1,51290,2024-12-06 05:00:00,117.18300000000002,116.017,8.651267410675345e-05
2024-12-09,4538281.0,114.7792,115.67,114.9,115.87,113.85,62637,2024-12-09 05:00:00,116.897,116.06640000000002,-0.006055363321799234
