t,v_BRK.B,vw,o_BRK.B,c_BRK.B,h_BRK.B,l_BRK.B,n,t_a,BRK.B_SMA_10,BRK.B_SMA_50,BRK.B_Returns
2024-10-30,2506821.0,455.6513,454.67,454.96,457.6699,453.82,61219,2024-10-30 04:00:00,459.672,458.5834,0.0007478773481148782
2024-10-31,3403593.0,452.9158,455.19,450.92,456.84,450.57,76807,2024-10-31 04:00:00,458.179,458.6698,-0.008879901529804779
2024-11-01,2712497.0,453.0832,451.49,452.14,455.12,450.7,70967,2024-11-01 04:00:00,456.913,458.732,0.002705579703716765
2024-11-04,5630065.0,441.8802,450.37,442.29,450.7,437.9,141387,2024-11-04 05:00:00,454.726,458.51020000000005,-0.02178528774273447
2024-11-05,3018628.0,443.527,442.29,445.06,445.23,441.1,83511,2024-11-05 05:00:00,453.087,458.3216,0.006262859210020455
2024-11-06,6687329.0,465.55,461.0,468.9,469.26,459.4801,149278,2024-11-06 05:00:00,453.916,458.487,0.05356581135127847
2024-11-07,4106383.0,462.0427,468.27,460.13,468.46,460.1,100466,2024-11-07 05:00:00,454.15200000000004,458.3978000000001,-0.018703348261889463
2024-11-08,3410758.0,463.234,461.98,463.41,466.35,459.5001,79813,2024-11-08 05:00:00,455.092,458.2986,0.0071284202290657905
2024-11-11,3759836.0,467.9054,466.01,467.36,470.51,464.0,84166,2024-11-11 05:00:00,455.979,458.1274000000001,0.008523769448220753
2024-11-12,2821870.0,466.8348,467.69,466.29,468.42,465.15,70038,2024-11-12 05:00:00,457.146,457.91659999999996,-0.002289455665867801
2024-11-13,2653253.0,466.9796,466.41,468.1,468.4,464.0,66301,2024-11-13 05:00:00,458.46000000000004,457.7072,0.003881704518647222
2024-11-14,3545294.0,467.8644,468.81,467.7,469.4493,466.0,72149,2024-11-14 05:00:00,460.13800000000003,457.7628000000001,-0.0008545182653280081
2024-11-15,5649697.0,469.4307,466.74,470.28,472.2551,465.19,87674,2024-11-15 05:00:00,461.95199999999994,457.98,0.005516356638870956
2024-11-18,2895506.0,471.5093,470.98,472.2,472.6713,468.36,73460,2024-11-18 05:00:00,464.94300000000004,458.2318,0.0040826741515693765
2024-11-19,2938211.0,467.9323,470.77,468.86,470.77,465.01,69641,2024-11-19 05:00:00,467.32300000000004,458.43059999999997,-0.0070732740364252145
2024-11-20,2865170.0,468.6657,470.0,468.83,470.6149,466.11,59006,2024-11-20 05:00:00,467.316,458.74520000000007,-6.398498485693516e-05
2024-11-21,3366969.0,471.9667,469.445,472.06,474.66,467.0,76417,2024-11-21 05:00:00,468.509,459.16900000000004,0.00688949086022661
2024-11-22,2927854.0,475.9056,472.27,476.57,477.4399,471.61,66052,2024-11-22 05:00:00,469.825,459.7482,0.009553870270728293
2024-11-25,4933316.0,478.6721,479.13,477.43,482.5,476.79,89386,2024-11-25 05:00:00,470.832,460.26120000000003,0.0018045617642739042
2024-11-26,3034603.0,476.9677,478.2,478.56,479.4,472.85,70935,2024-11-26 05:00:00,472.059,460.69879999999995,0.0023668391177764647
2024-11-27,4847645.0,485.9251,481.0,483.08,491.67,480.87,99926,2024-11-27 05:00:00,473.55699999999996,461.2284,0.009445001671681608
2024-11-29,2660245.0,483.7319,485.37,483.02,486.01,482.05,59279,2024-11-29 05:00:00,475.08900000000006,461.6946,-0.00012420303055393767
2024-12-02,4222896.0,478.1555,484.8,477.33,485.09,474.75,104970,2024-12-02 05:00:00,475.79400000000004,462.135,-0.011780050515506568
2024-12-03,4019001.0,471.6681,478.16,470.19,478.3,468.805,103531,2024-12-03 05:00:00,475.59299999999996,462.4392,-0.01495820501539813
2024-12-04,3280370.0,468.2641,471.09,468.32,471.34,466.5,88299,2024-12-04 05:00:00,475.53899999999993,462.7144,-0.00397711563410541
2024-12-05,3162554.0,470.638,468.78,470.57,472.74,468.72,68985,2024-12-05 05:00:00,475.713,463.0786,0.004804407242910758
2024-12-06,3212583.0,470.0059,470.58,470.5,472.08,467.82,70139,2024-12-06 05:00:00,475.55699999999996,463.405,-0.00014875576428585724
2024-12-09,3582995.0,465.6003,470.6,463.87,471.7,463.42,99068,2024-12-09 05:00:00,474.287,463.533,-0.014091392136025505
