                  v_AMD        vw     o_AMD    c_AMD     h_AMD     l_AMD        n                 t_a  AMD_SMA_10  AMD_SMA_50  AMD_Returns
t                                                                                                                                         
2024-02-15   51126437.0  177.0949  179.1400  176.760  180.5000  175.2600   474227 2024-02-15 05:00:00    173.1450    153.8874    -0.010856
2024-02-16   53233642.0  175.6032  177.4500  173.870  180.3301  173.2500   490113 2024-02-16 05:00:00    172.7660    154.9972    -0.016350
2024-02-20   66549992.0  165.0389  171.1400  165.690  171.8100  162.0000   697006 2024-02-20 05:00:00    171.9120    155.9746    -0.047047
2024-02-21   48774556.0  163.7694  162.7400  164.290  164.9000  161.8100   483937 2024-02-21 05:00:00    171.5530    156.6930    -0.008450
2024-02-22  100684733.0  180.4102  173.2000  181.860  183.8300  172.0000   958680 2024-02-22 05:00:00    172.6450    157.7518     0.106945
2024-02-23   69207367.0  177.5534  181.8600  176.520  183.8000  174.5500   661272 2024-02-23 05:00:00    173.3620    158.5940    -0.029363
2024-02-26   45435093.0  176.7206  178.7800  176.010  179.8400  174.8100   437287 2024-02-26 05:00:00    173.7150    159.3620    -0.002889
2024-02-27   43590841.0  176.7664  175.9200  178.000  178.4600  172.4900   417002 2024-02-27 05:00:00    174.3240    160.1582     0.011306
2024-02-28   35914414.0  175.6345  176.2500  176.540  176.8400  173.5900   354430 2024-02-28 05:00:00    174.8240    160.9290    -0.008202
2024-02-29  105538483.0  188.0590  179.8200  192.530  193.0000  179.8200   938546 2024-02-29 05:00:00    176.2070    161.9966     0.090574
2024-03-01  103820773.0  199.7643  197.9100  202.640  202.7200  195.4200   961935 2024-03-01 05:00:00    178.7950    163.2714     0.052511
2024-03-04   86823838.0  207.6803  205.1600  205.360  211.0100  203.5000   836662 2024-03-04 05:00:00    181.9440    164.5756     0.013423
2024-03-05   65407112.0  202.4287  200.5000  205.130  205.3300  199.1500   664027 2024-03-05 05:00:00    185.8880    165.9688    -0.001120
2024-03-06   86664987.0  210.8288  210.4300  210.630  214.8109  207.3200   776245 2024-03-06 05:00:00    190.5220    167.3832     0.026812
2024-03-07   63859288.0  211.0924  212.5200  211.380  213.8300  208.2200   620516 2024-03-07 05:00:00    193.4740    168.8188     0.003561
2024-03-08  120815222.0  214.2766  213.4100  207.390  227.3000  205.6000  1110430 2024-03-08 05:00:00    196.5610    170.0984    -0.018876
2024-03-11   73076776.0  199.8567  203.0100  198.390  203.5500  196.7010   778012 2024-03-11 04:00:00    198.7990    171.1448    -0.043396
2024-03-12   68951657.0  199.9399  200.5200  202.760  202.8499  194.2700   664420 2024-03-12 04:00:00    201.2750    172.2248     0.022027
2024-03-13   70526879.0  195.2101  198.7300  194.790  198.8300  192.7001   703703 2024-03-13 04:00:00    203.1000    173.1724    -0.039308
2024-03-14   84486846.0  189.7565  192.9200  187.060  196.9300  184.0300   757435 2024-03-14 04:00:00    202.5530    174.1420    -0.039684
2024-03-15   95289509.0  191.1237  184.8300  191.060  193.7999  184.4800   726524 2024-03-15 04:00:00    201.3950    175.2568     0.021384
2024-03-18   59306586.0  191.2440  193.2850  190.650  193.5000  188.0500   537243 2024-03-18 04:00:00    199.9240    176.3496    -0.002146
2024-03-19   83509459.0  180.5153  183.1600  181.420  185.6127  177.3602   799656 2024-03-19 04:00:00    197.5530    177.2064    -0.048413
2024-03-20   81773114.0  178.0858  182.0300  179.730  182.6800  174.0000   756119 2024-03-20 04:00:00    194.4630    177.8774    -0.009315
2024-03-21   75265596.0  180.7294  185.9700  178.680  187.6900  177.6600   640844 2024-03-21 04:00:00    191.1930    178.4658    -0.005842
2024-03-22   57894071.0  178.0423  177.2100  179.650  180.7600  175.0500   529749 2024-03-22 04:00:00    188.4190    179.0880     0.005429
2024-03-25   71935313.0  179.0314  172.9000  178.630  182.8000  172.0000   637330 2024-03-25 04:00:00    186.4430    179.7002    -0.005678
2024-03-26   65322445.0  179.4673  179.5400  177.870  182.5983  176.3300   566860 2024-03-26 04:00:00    183.9540    180.3264    -0.004255
2024-03-27   55685645.0  178.0349  179.9600  179.590  181.2300  175.4000   469617 2024-03-27 04:00:00    182.4340    180.7434     0.009670
2024-03-28   57309514.0  181.1994  179.4700  180.490  183.4000  178.3000   457669 2024-03-28 04:00:00    181.7770    181.1498     0.005011
2024-04-01   74299905.0  183.5875  180.1000  183.340  187.2400  179.9000   582868 2024-04-01 04:00:00    181.0050    181.5632     0.015790
2024-04-02   61592517.0  176.8444  179.4700  178.700  180.1000  174.8300   533493 2024-04-02 04:00:00    179.8100    181.6526    -0.025308
2024-04-03   49835064.0  180.6832  177.5400  180.770  182.0500  176.7000   426058 2024-04-03 04:00:00    179.7450    181.9044     0.011584
2024-04-04   88222257.0  173.6889  182.9200  165.830  183.0200  165.6500   785550 2024-04-04 04:00:00    178.3550    181.8526    -0.082646
2024-04-05   66054391.0  170.3164  168.1000  170.420  172.6900  165.5800   587120 2024-04-05 04:00:00    177.5290    181.6952     0.027679
2024-04-08   43997546.0  169.6283  168.2000  169.900  171.6599  166.8200   423551 2024-04-08 04:00:00    176.5540    181.4866    -0.003051
2024-04-09   42927985.0  169.3961  170.2100  170.780  171.6000  167.2900   399563 2024-04-09 04:00:00    175.7690    181.3572     0.005180
2024-04-10   59588458.0  166.5412  166.7100  167.140  169.7752  164.0000   560172 2024-04-10 04:00:00    174.6960    181.1434    -0.021314
2024-04-11   48989931.0  169.3341  167.5450  170.500  170.9499  166.5492   431700 2024-04-11 04:00:00    173.7870    181.1122     0.020103
2024-04-12   63519643.0  163.4995  164.5300  163.280  165.7000  161.8250   585381 2024-04-12 04:00:00    172.0660    181.0240    -0.042346
2024-04-15   60846810.0  161.5913  164.4300  160.320  164.4400  158.7600   543784 2024-04-15 04:00:00    169.7640    180.8208    -0.018128
2024-04-16   55064476.0  163.3181  162.2800  163.460  164.8799  161.6700   504371 2024-04-16 04:00:00    168.2400    180.5368     0.019586
2024-04-17   75591335.0  157.7128  163.9700  154.020  164.4500  153.8800   646706 2024-04-17 04:00:00    165.5650    180.1326    -0.057751
2024-04-18   52582491.0  155.0038  155.5100  155.080  156.9600  152.3200   513790 2024-04-18 04:00:00    164.4900    179.8766     0.006882
2024-04-19   71144123.0  149.1670  151.5900  146.640  154.2500  145.2900   677589 2024-04-19 04:00:00    162.1120    179.3906    -0.054424
2024-04-22   48790241.0  147.8806  148.1500  148.640  149.8900  145.6300   416732 2024-04-22 04:00:00    159.9860    178.9764     0.013639
2024-04-23   45611142.0  152.4196  151.6500  152.270  153.4950  150.3500   401291 2024-04-23 04:00:00    158.1350    178.5722     0.024421
2024-04-24   42871832.0  152.9270  156.5600  151.740  157.6598  150.6300   407143 2024-04-24 04:00:00    156.5950    178.1688    -0.003481
2024-04-25   41309006.0  152.6458  149.1500  153.760  155.1400  146.7500   395755 2024-04-25 04:00:00    154.9210    177.8132     0.013312
2024-04-26   42354298.0  157.0999  154.2400  157.400  158.6300  153.4252   406755 2024-04-26 04:00:00    154.3330    177.3872     0.023673
2024-04-29   43289247.0  159.3549  159.0800  160.200  160.7700  156.2600   441438 2024-04-29 04:00:00    154.3210    177.0560     0.017789
2024-04-30   60119181.0  159.0243  160.6300  158.380  162.2900  158.3500   588450 2024-04-30 04:00:00    153.8130    176.7462    -0.011361
2024-05-01   89302878.0  145.9253  148.1100  144.270  151.3700  142.1400   928443 2024-05-01 04:00:00    152.8380    176.3178    -0.089090
2024-05-02   49947612.0  144.6633  145.5100  146.160  147.6200  141.1550   498956 2024-05-02 04:00:00    151.9460    175.9552     0.013100
2024-05-03   49273840.0  149.4161  148.7500  150.600  150.7900  147.2384   430891 2024-05-03 04:00:00    152.3420    175.3300     0.030378
2024-05-06   44482655.0  155.0104  153.1000  155.780  156.6500  151.2600   397279 2024-05-06 04:00:00    153.0560    174.9152     0.034396
2024-05-07   37180981.0  155.4449  156.3200  154.430  157.7000  153.6600   345834 2024-05-07 04:00:00    153.2720    174.4836    -0.008666
2024-05-08   28642103.0  153.7292  153.4000  153.620  155.3300  152.5200   264720 2024-05-08 04:00:00    153.4600    173.9960    -0.005245
2024-05-09   32920604.0  152.3358  153.1300  152.390  154.0920  150.6100   291715 2024-05-09 04:00:00    153.3230    173.5130    -0.008007
2024-05-10   37486400.0  152.9616  154.2874  151.920  156.3700  151.3100   352661 2024-05-10 04:00:00    152.7750    172.7008    -0.003084
