t,v_V,vw,o_V,c_V,h_V,l_V,n,t_a,V_SMA_10,V_SMA_50,V_Returns
2024-11-12,4459893.0,309.4601,309.04,309.85,310.55,308.11,86485,2024-11-12 05:00:00,299.773,285.2504,-0.003441399716968996
2024-11-13,3878779.0,309.4709,309.49,309.48,310.9485,307.84,84365,2024-11-13 05:00:00,301.70500000000004,285.8302,-0.0011941261900919597
2024-11-14,4215382.0,309.0263,309.3,308.25,311.29,307.83,79900,2024-11-14 05:00:00,303.545,286.4228,-0.003974408685537112
2024-11-15,4822060.0,309.2839,307.56,309.64,310.72,306.66,88749,2024-11-15 05:00:00,305.435,287.02819999999997,0.004509326845093309
2024-11-18,4400663.0,311.3667,309.48,312.16,312.41,308.7,88628,2024-11-18 05:00:00,307.466,287.55920000000003,0.008138483400077723
2024-11-19,4751969.0,311.1183,310.0,311.85,312.23,308.51,83856,2024-11-19 05:00:00,309.322,288.0894,-0.0009930804715531094
2024-11-20,6013315.0,307.9556,311.86,307.39,312.29,306.22,95134,2024-11-20 05:00:00,309.321,288.558,-0.014301747635081075
2024-11-21,5554898.0,309.5771,307.3,309.9,310.92,306.65,97196,2024-11-21 05:00:00,309.731,289.0486,0.008165522625980026
2024-11-22,5683129.0,309.5345,307.97,309.92,311.59,307.9,90981,2024-11-22 05:00:00,309.93600000000004,289.5,6.453694740260474e-05
2024-11-25,12953780.0,312.6633,311.86,313.19,313.66,309.86,115023,2024-11-25 05:00:00,310.163,289.9542,0.010551109963861549
2024-11-26,6909698.0,312.3364,314.2,311.82,314.5,311.54,87311,2024-11-26 05:00:00,310.36,290.3594,-0.0043743414540694525
2024-11-27,5101123.0,314.5896,310.77,314.7,316.37,309.49,89780,2024-11-27 05:00:00,310.88199999999995,290.8838,0.009236097748701155
2024-11-29,3525174.0,315.0198,314.29,315.08,316.25,313.7,62208,2024-11-29 05:00:00,311.565,291.48060000000004,0.0012074992055925993
2024-12-02,5227005.0,315.911,316.9,316.65,317.42,313.71,94488,2024-12-02 05:00:00,312.26599999999996,292.1182,0.004982861495493207
2024-12-03,4717767.0,314.0345,317.1,313.01,317.32,312.77,92437,2024-12-03 05:00:00,312.351,292.60580000000004,-0.011495341860097819
2024-12-04,5525744.0,310.0455,312.42,309.9,312.85,308.8,104707,2024-12-04 05:00:00,312.156,293.3482,-0.009935784799207759
2024-12-05,5097114.0,309.68,309.98,309.08,311.09,308.83,87993,2024-12-05 05:00:00,312.325,294.1372,-0.0026460148434979125
2024-12-06,4147811.0,311.1942,308.87,311.01,312.56,308.8,82673,2024-12-06 05:00:00,312.436,294.9236,0.006244338035460206
2024-12-09,5154924.0,309.4715,311.83,308.3,313.01,307.64,98898,2024-12-09 05:00:00,312.274,295.58619999999996,-0.008713546188225396
